SPM: alternating [p<0.01 (unc.), k=50]

Cluster 1 	23246 vox	 -51	-10	+53

Assignment based on Maximum Probability Map	Percent of Cluster volume in Area	Percent of Area activated by Cluster
Area p32	1.7	91.2
Area 6d1	1.3	64.4
Area hOc2 [V2]	1.2	38.7
Area hOc1 [V1]	1.1	26.0
Area 7A (SPL)	1.1	50.6
Area hOc3v [V3v]	1.1	53.5
Area TE 5	1.0	61.0
Area 3b	0.7	40.5
Area Fp2	0.7	63.9
Area 6mr / preSMA	0.7	73.2
Area 6d2	0.7	54.5
Area 44	0.6	53.4
Area PGa (IPL)	0.6	38.2
Area PFt (IPL)	0.6	47.4
Area hOc4v [V4(v)]	0.6	35.9
Area Fo6	0.6	82.0
Area TE 4	0.6	43.6
Area PF (IPL)	0.5	38.3
Area PGp (IPL)	0.5	23.6
Area Fo3	0.5	26.4
Area p24ab	0.5	91.2
Area PFop (IPL)	0.5	83.2
Area 45	0.5	37.4
Area p24c	0.4	74.7
Area OP1 [SII]	0.4	46.9
Area 6d3	0.4	38.9
Area 1	0.4	33.0
Area PFcm (IPL)	0.4	55.1
Area 7PC (SPL)	0.4	46.1
Area 2	0.4	29.2
Area hIP5 (IPS)	0.4	42.2
Area 6mc / SMA	0.4	53.5
Area hOc4lp	0.4	21.9
Area Fp1	0.4	13.2
Area FG4	0.3	22.6
Area Fo7	0.3	63.4
Area PFm (IPL)	0.3	16.5
Area hIP2 (IPS)	0.3	43.2
Area 4a	0.3	20.6
Area FG2	0.3	33.5
Area hIP1 (IPS)	0.3	28.5
Area hIP3 (IPS)	0.3	26.3
Area Fo4	0.3	48.8
Area 5M (SPL)	0.3	34.7
Area s32	0.3	58.2
Area TE 3	0.3	16.9
Area OP4 [PV]	0.2	37.3
Area 5L (SPL)	0.2	15.7
Area Fo5	0.2	45.2
Area 4p	0.2	27.7
Area hIP6 (IPS)	0.2	17.8
Area hOc3d [V3d]	0.2	9.2
Area 7P (SPL)	0.1	17.4
Area 33	0.1	22.9
Area s24	0.1	29.3
Area OP9	0.1	20.2
Area 3a	0.1	19.6
Area 7M (SPL)	0.1	68.1
Area hIP8 (IPS)	0.1	13.0
Dorsal Dentate Nucleus	0.1	24.9
Area 5Ci (SPL)	0.1	23.7
Subiculum	0.1	7.4
Area hIP4 (IPS)	0.1	12.0
Area TE 1.0	0.1	20.8
Area OP8	0.1	17.4
Area TE 1.2	0.1	29.1
Amygdala (CM)	0.1	39.1
Ventral Dentate Nucleus	0.1	34.6
Area TE 1.1	0.1	15.8
Area hOc4la	0.0	2.2
Area Id7	0.0	10.2
Area Fo1	0.0	3.6
Area hPO1 (IPS)	0.0	3.5
Area FG1	0.0	3.3
