SPM: switch [p<0.01 (unc.), k=50]

Cluster 1 	20842 vox	 -27	-4	+56

Assignment based on Maximum Probability Map	Percent of Cluster volume in Area	Percent of Area activated by Cluster
Area 7A (SPL)	2.1	85.0
Area hOc1 [V1]	1.5	31.1
Area FG4	1.5	88.2
Area hOc4la	1.3	61.3
Area hIP3 (IPS)	1.2	97.1
Area PF (IPL)	1.1	70.5
Area PFt (IPL)	1.1	76.5
Area 6d1	1.1	45.4
Area 44	1.0	77.8
Area hIP1 (IPS)	1.0	86.5
Area 6d2	1.0	73.0
Area FG2	0.9	91.9
Area hOc4lp	0.9	49.3
Area 6d3	0.9	73.1
Area 6mr / preSMA	0.9	85.3
Area PFm (IPL)	0.8	39.4
Area hIP6 (IPS)	0.8	68.3
Area Id6	0.7	71.0
Area 7P (SPL)	0.7	75.4
Area 2	0.6	43.8
Area hIP2 (IPS)	0.6	80.4
Area hOc4v [V4(v)]	0.6	34.5
Area hIP5 (IPS)	0.6	62.6
Area hIP8 (IPS)	0.6	67.8
Area 45	0.6	45.8
Area hOc2 [V2]	0.6	17.5
Area PFcm (IPL)	0.6	66.2
Area OP1 [SII]	0.6	52.2
Area PFop (IPL)	0.5	85.1
Area 6mc / SMA	0.5	64.3
Area 7PC (SPL)	0.4	40.9
Area Fp1	0.4	13.1
Area OP8	0.4	87.0
Area hOc3v [V3v]	0.4	17.2
Area Fo3	0.4	18.1
Area Id7	0.4	88.9
Area hIP7 (IPS)	0.4	50.1
Area 1	0.4	24.0
Area 4a	0.3	19.2
Area FG3	0.3	25.0
Area 5M (SPL)	0.3	35.8
Area TE 5	0.3	15.2
Area 3b	0.3	13.5
Area OP9	0.3	42.8
Area 5L (SPL)	0.2	17.4
Area hOc5 [V5/MT]	0.2	74.5
Area TE 4	0.2	14.7
Area Fo4	0.2	28.9
Area hOc4d [V3A]	0.2	14.3
Area Fo5	0.2	37.2
Area 33	0.2	26.6
Area FG1	0.2	20.6
Area PGp (IPL)	0.2	6.6
Area PGa (IPL)	0.2	8.4
Area hOc6 [V6]	0.1	35.4
Area TE 3	0.1	8.4
Area hIP4 (IPS)	0.1	20.1
Area OP4 [PV]	0.1	20.5
Area hPO1 (IPS)	0.1	12.3
Area hOc3d [V3d]	0.1	6.3
Area 5Ci (SPL)	0.1	26.9
Area p24ab	0.1	18.4
Area Id4	0.1	30.5
Area p24c	0.1	11.6
Subiculum	0.1	4.4
CA1 (Hippocampus)	0.1	3.4
Area TE 1.2	0.0	18.4
Area Fo6	0.0	4.6
Area p32	0.0	1.7
Area Id5	0.0	10.0
Area Fo7	0.0	5.6
DG (Hippocampus)	0.0	4.7
Area 3a	0.0	3.9
