,Subject,Run,Switch To,Number of Blinks
0,sub-001,1,1.0,5.0
1,sub-001,1,2.0,6.0
2,sub-001,2,1.0,3.0
3,sub-001,2,2.0,3.0
4,sub-001,3,1.0,2.5
5,sub-001,3,2.0,2.5
6,sub-001,4,1.0,2.5
7,sub-001,4,2.0,2.5
8,sub-001,5,1.0,3.0
9,sub-001,5,2.0,3.0
10,sub-001,6,1.0,3.0
11,sub-001,6,2.0,3.0
12,sub-002,1,1.0,3.0
13,sub-002,1,2.0,6.0
14,sub-002,2,1.0,2.0
15,sub-002,2,2.0,5.0
16,sub-002,3,1.0,1.0
17,sub-002,3,2.0,3.5
18,sub-002,4,1.0,2.0
19,sub-002,4,2.0,3.5
20,sub-002,5,1.0,1.5
21,sub-002,5,2.0,4.0
22,sub-002,6,1.0,1.5
23,sub-002,6,2.0,3.0
24,sub-003,1,1.0,2.5
25,sub-003,1,2.0,6.5
26,sub-003,2,1.0,1.0
27,sub-003,2,2.0,4.0
28,sub-003,3,1.0,1.0
29,sub-003,3,2.0,3.0
30,sub-003,4,1.0,1.0
31,sub-003,4,2.0,4.0
32,sub-003,5,1.0,1.0
33,sub-003,5,2.0,3.0
34,sub-003,6,1.0,2.0
35,sub-003,6,2.0,4.0
36,sub-004,1,1.0,2.0
37,sub-004,1,2.0,4.5
38,sub-004,2,1.0,2.0
39,sub-004,2,2.0,6.5
40,sub-004,3,1.0,1.5
41,sub-004,3,2.0,7.0
42,sub-004,4,1.0,1.5
43,sub-004,4,2.0,7.5
44,sub-004,5,1.0,1.0
45,sub-004,5,2.0,6.0
46,sub-004,6,1.0,1.0
47,sub-004,6,2.0,6.5
48,sub-005,1,1.0,2.0
49,sub-005,1,2.0,7.0
50,sub-005,2,1.0,2.0
51,sub-005,2,2.0,5.0
52,sub-005,3,1.0,2.0
53,sub-005,3,2.0,5.5
54,sub-005,4,1.0,2.0
55,sub-005,4,2.0,4.0
56,sub-005,5,1.0,2.0
57,sub-005,5,2.0,5.0
58,sub-005,6,1.0,2.0
59,sub-005,6,2.0,5.0
60,sub-006,1,1.0,3.5
61,sub-006,1,2.0,2.5
62,sub-006,2,1.0,4.0
63,sub-006,2,2.0,2.5
64,sub-006,3,1.0,2.5
65,sub-006,3,2.0,2.5
66,sub-006,4,1.0,1.5
67,sub-006,4,2.0,1.5
68,sub-006,5,1.0,3.5
69,sub-006,5,2.0,1.5
70,sub-006,6,1.0,1.5
71,sub-006,6,2.0,0.5
72,sub-007,1,1.0,3.5
73,sub-007,1,2.0,6.5
74,sub-007,2,1.0,2.5
75,sub-007,2,2.0,5.5
76,sub-007,3,1.0,2.0
77,sub-007,3,2.0,6.0
78,sub-007,4,1.0,3.0
79,sub-007,4,2.0,4.5
80,sub-007,5,1.0,2.0
81,sub-007,5,2.0,5.5
82,sub-007,6,1.0,2.0
83,sub-007,6,2.0,4.5
84,sub-008,1,1.0,2.0
85,sub-008,1,2.0,6.0
86,sub-008,2,1.0,5.0
87,sub-008,2,2.0,3.0
88,sub-008,3,1.0,3.0
89,sub-008,3,2.0,6.0
90,sub-008,4,1.0,4.5
91,sub-008,4,2.0,2.0
92,sub-008,5,1.0,4.0
93,sub-008,5,2.0,5.0
94,sub-008,6,1.0,5.0
95,sub-008,6,2.0,2.0
96,sub-009,1,1.0,5.5
97,sub-009,1,2.0,2.0
98,sub-009,2,1.0,5.0
99,sub-009,2,2.0,3.0
100,sub-009,3,1.0,5.5
101,sub-009,3,2.0,2.0
102,sub-009,4,1.0,4.5
103,sub-009,4,2.0,2.0
104,sub-009,5,1.0,6.0
105,sub-009,5,2.0,2.0
106,sub-009,6,1.0,5.5
107,sub-009,6,2.0,2.0
108,,Mean,1.0,2.712962962962963
109,,Mean,2.0,4.064814814814815
110,,Std,1.0,1.3770913082945777
111,,Std,2.0,1.7269160539062276
